,Zip,Lat,Lng,Population,Children,Age,Income,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Month-to-month,Contract_One year,Contract_Two_Year,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
25,32086,29.75675,-81.30311,29568,1,77,12558.83,True,9.767668044,12,1,0,False,False,True,True,False,False,False,False,False,False,False,False,4.157658837,92.455141,774.2937069,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
26,87325,36.00209,-108.62285,3089,1,47,8762.23,True,15.8626095,15,0,1,False,True,False,True,False,True,False,True,False,True,True,False,10.40566091,222.649979,1506.446527,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
27,48133,41.7812,-83.48594,5652,0,70,43882.72,True,14.73616645,12,0,0,False,True,False,True,False,False,True,True,False,True,False,True,1.392421597,139.981577,419.0508708,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False
28,5660,44.24718,-72.74137,1716,3,20,10482.52,True,13.43558029,13,2,0,True,False,False,True,False,False,False,True,False,True,True,False,1.430386349,200.132293,1259.415493,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
29,20902,39.04373,-77.04224,52484,4,69,33442.79,True,10.61771118,18,1,0,False,False,True,True,True,True,True,True,False,True,True,True,5.425864884,257.651257,1745.125956,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
31,43556,41.30608,-84.56989,1765,0,40,21793.88,False,4.450171647,13,2,0,False,False,True,True,True,False,True,False,True,False,False,False,3.586184954,147.489301,492.4771472,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False
32,98572,46.5512,-123.32437,680,6,82,51960.51,True,8.774646693,9,0,0,False,True,True,True,False,False,True,False,False,True,True,True,4.727388465,230.105118,1013.993166,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
33,49883,46.43517,-86.01334,136,5,74,25942.1,True,11.13156721,8,1,1,False,False,False,True,True,True,True,False,False,True,False,False,20.89923386,174.958118,2680.762173,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False
34,60921,40.73772,-88.28785,1517,4,69,11211.59,True,5.540788887,15,1,0,False,True,False,True,True,True,False,True,True,True,True,False,3.471329958,267.664655,1081.814362,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
35,49224,42.28109,-84.75184,14103,1,52,8283.29,True,13.80362698,11,0,1,False,True,False,True,True,True,True,False,True,False,False,True,5.478588204,162.483267,1209.961168,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True
36,6447,41.63306,-72.45472,6394,2,26,10114.81,True,16.31017089,16,1,1,False,True,False,True,True,True,True,True,True,False,True,True,3.312991809,229.993134,897.5919144,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
37,7848,41.10336,-74.68407,5059,1,25,36229.21,False,9.447065309,9,2,0,False,True,True,True,True,True,False,True,False,False,False,True,7.161561527,140.00128,1340.930156,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
38,20017,38.93845,-76.99317,20450,1,66,25397.44,False,16.84100845,12,1,0,False,True,False,True,False,True,True,False,True,False,True,False,9.847563364,184.964681,1113.993679,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
39,18917,40.37305,-75.2041,2123,1,72,50336.5,False,7.972937227,10,1,1,False,True,False,True,False,False,True,True,False,False,False,False,16.04202196,147.473844,1530.10769,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
40,8738,40.02145,-74.06183,1164,3,21,38211.37,False,11.42906608,12,1,0,False,False,False,True,False,False,True,True,False,True,False,True,9.179779682,172.457857,1310.137419,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
41,16682,40.26608,-78.45782,23,3,55,52887.26,False,8.06137096,16,2,0,False,True,False,True,False,True,False,False,True,False,False,True,3.002844144,107.481989,892.8964931,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
42,73458,34.35204,-97.25336,895,4,41,12003.33,True,12.54780492,11,1,2,False,True,False,True,True,True,False,False,True,True,True,False,3.924254455,255.141716,1125.581944,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
43,15748,40.52449,-79.08432,6699,4,32,24090.62,False,8.255565152,13,0,0,False,True,True,True,True,False,False,False,True,False,True,True,18.55959629,192.456745,2016.710031,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
44,10035,40.7955,-73.92968,35743,0,22,15137.93,True,13.156514,6,0,0,False,True,False,True,True,True,False,False,False,True,True,True,8.798394712,242.632554,1412.736809,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False
45,49881,46.07835,-88.03348,320,2,44,54458.38,True,10.58349704,5,1,0,False,True,True,True,True,True,True,True,False,True,True,True,10.377366,245.174977,1710.689671,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
47,98220,48.68497,-122.19692,861,3,43,37358.13,True,9.750038902,11,1,0,True,False,False,True,True,True,True,True,True,False,False,True,9.427146079,195.006206,1213.940165,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
48,37416,35.10444,-85.17661,15364,1,86,26534.16,False,7.868660851,11,2,2,False,True,False,True,False,False,False,False,False,True,False,False,7.760290062,104.962874,740.010722,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False
49,58341,47.77527,-99.85,2589,2,84,76430.83,False,12.43563329,14,0,1,False,False,True,True,False,False,False,False,True,False,False,True,11.56938439,92.488023,897.9716153,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
50,35072,33.08977,-86.06138,4901,2,62,4662.37,True,8.957166926,13,3,0,False,True,False,True,True,False,False,True,True,False,True,False,3.343811019,184.979684,1026.387172,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
51,27292,35.73451,-80.20925,39649,5,68,43820.85,True,8.015021713,12,1,0,False,True,False,True,False,False,False,True,False,True,True,True,7.338869531,187.656013,1234.244324,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False
52,71286,32.6644,-91.19645,456,1,59,38391.55,False,4.210347704,8,0,0,False,False,False,True,False,False,False,True,False,True,False,True,5.486534225,149.962093,727.3731845,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
53,50551,42.47954,-94.75105,94,0,31,44137.6,True,11.13960534,6,0,0,True,False,False,True,True,False,False,False,False,True,False,True,1.55278221,169.944668,452.8721504,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False
54,68858,40.95947,-99.37702,315,0,51,14364.65,True,9.03738856,11,2,0,False,True,False,True,True,True,False,True,False,False,False,True,12.07970325,160.00128,1296.674543,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
55,24801,37.44262,-81.57762,4969,1,58,62359.91,False,10.91594785,11,1,1,False,False,False,True,False,False,False,True,False,True,False,False,13.98666226,129.962093,1840.628269,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True
56,77511,29.38147,-95.24205,46869,1,73,82634.86,True,8.387624096,11,0,1,False,False,False,True,False,False,True,False,False,False,False,True,9.563362997,114.950905,1324.330108,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
58,53403,42.68864,-87.82515,26182,1,58,14568.7,True,10.22013704,15,2,0,False,True,False,True,True,False,False,False,True,True,True,True,15.72071086,220.14775,1868.864027,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False
59,31011,32.12693,-83.06218,694,0,49,29207.46,False,8.425458142,9,1,0,False,False,False,True,False,False,False,True,False,False,False,True,7.233605493,124.97808,676.712908,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
60,74455,35.3619,-95.26371,3093,1,26,55319.23,False,8.386280619,12,1,0,False,False,True,True,False,True,True,False,True,False,True,True,2.871017037,164.964681,1086.990308,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
61,61734,40.37342,-89.52646,2765,1,25,81831.49,False,9.565924291,10,3,0,False,True,False,True,True,False,False,True,True,True,False,False,2.344875382,194.976769,704.7540406,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
62,18618,41.37478,-76.03486,3757,0,42,100076.65,True,10.79349982,14,3,0,False,True,False,True,False,True,True,False,False,False,True,True,7.960490246,152.455519,1416.444695,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True
63,85925,34.088,-109.3232,4938,1,81,69965.65,False,6.081975067,15,0,0,False,False,True,True,False,False,False,True,False,False,False,False,12.25062113,92.5018,1095.950634,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
64,27805,36.20782,-77.08433,3761,1,43,34883.69,False,13.55065547,13,0,0,True,False,True,True,False,False,False,True,False,False,True,True,9.634946079,127.488728,1083.610268,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
65,95245,38.29793,-120.62131,1851,2,63,45634.2,False,9.470419821,14,1,0,False,True,False,True,True,False,True,True,False,True,False,False,7.916533093,184.963371,1570.641337,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
66,60090,42.1295,-87.92197,38476,3,70,10964.73,True,6.194985909,11,0,1,False,True,False,True,True,False,False,True,True,True,True,True,4.471254161,265.146969,1007.425553,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
67,64772,37.82945,-94.33173,13547,1,78,22365.28,True,10.80393657,19,1,0,False,False,False,True,False,False,False,False,False,True,True,False,10.79028074,207.609354,1323.028419,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
68,79364,33.45204,-101.64305,7801,0,48,52636.6,False,7.903964267,17,0,1,False,True,True,True,True,True,False,False,False,True,False,False,12.24190682,152.462354,1808.730555,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False
69,82716,44.48072,-105.68542,17823,1,63,19048.13,True,11.27443693,18,2,1,True,True,False,True,False,False,False,True,False,True,True,True,2.203859443,200.132293,1120.241472,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False
70,97470,43.22975,-123.23433,20269,4,60,42784.82,True,6.129509309,12,0,0,False,True,True,True,False,True,True,False,True,True,True,False,23.92132231,212.655686,2676.789803,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
71,44133,41.31414,-81.74522,30225,0,87,77996.88,True,7.969277912,17,0,0,True,True,False,True,True,False,True,False,True,True,True,True,3.7311787,255.119794,1268.086909,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False
72,43907,40.25609,-81.02123,5760,3,54,47507.3,False,4.368120492,9,0,0,False,True,False,True,False,False,True,False,False,False,False,True,7.980015371,134.950905,822.6771666,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
73,59242,48.43505,-104.4389,61,3,35,7724.73,True,6.258356398,9,0,1,False,True,False,True,False,False,True,True,True,True,True,True,9.190009376,255.137219,1577.915603,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
74,92131,32.89431,-117.08013,34359,1,70,1509.52,True,12.92303286,16,0,0,False,False,False,True,True,False,True,True,False,False,True,False,2.378630018,214.966286,648.7471776,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
75,90303,33.9381,-118.3323,24693,2,67,81124.71,True,12.43301273,13,0,0,False,True,True,True,True,True,True,True,True,True,True,True,5.43464555,270.160419,1648.102673,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
76,20119,38.6184,-77.62493,4235,4,46,11795.57,True,7.607663559,11,0,0,False,False,False,False,False,False,False,True,True,True,True,True,1.092361222,200.165175,768.0874545,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
77,42274,36.94686,-86.60235,2193,1,50,74794.84,False,7.442789019,10,2,1,False,False,False,True,False,False,True,False,False,False,True,False,20.13981517,149.937833,2426.030626,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
78,62631,39.82437,-90.36129,273,1,24,19038.78,True,13.04429298,18,1,0,False,False,True,True,True,False,False,False,False,True,True,True,24.64873861,240.114868,2660.503932,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
79,56345,45.98881,-94.37486,14557,0,20,79167.77,False,14.89762162,17,0,0,False,False,True,True,False,True,False,True,False,False,False,True,9.677739656,127.495766,1129.549713,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
80,32804,28.57725,-81.39726,17653,1,29,37428.26,True,13.79387475,13,2,1,False,True,False,True,False,False,False,False,False,True,True,False,9.82814183,187.609354,1771.286466,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
81,15348,39.9883,-79.99619,285,0,31,45148.38,False,15.66367593,6,1,0,True,True,False,True,True,False,False,True,True,False,False,False,7.832238337,169.992756,943.3391244,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False
82,49881,46.07835,-88.03348,320,5,72,74855.47,False,8.513410306,13,3,0,False,True,False,True,True,False,False,False,True,False,True,False,19.45250317,192.456745,1907.226083,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True
83,42757,37.40057,-85.72074,2863,4,71,45323.86,False,8.265002035,10,1,0,False,False,True,True,False,True,False,True,True,False,False,True,14.34766616,120.004928,1885.939118,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
84,67448,38.65158,-97.41275,1206,2,32,71596.14,False,8.6026551,11,0,0,False,True,False,True,True,True,True,True,True,False,False,False,2.257358355,195.006206,631.7435653,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
85,22306,38.75669,-77.0929,35279,0,33,10389.95,False,6.03993035,15,1,0,False,False,False,True,False,True,False,False,False,True,False,True,2.358129018,139.95684,562.6095219,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False
86,17255,40.1613,-77.86247,1049,3,67,19657.14,False,14.6040829,12,3,0,True,False,False,True,False,False,True,False,True,False,False,True,4.650578623,114.983787,593.8572264,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False
87,60636,41.77576,-87.66912,32203,0,66,27827.03,True,7.274007029,13,1,1,False,True,False,True,True,False,False,False,False,True,True,False,3.721772616,207.638588,777.3060718,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
89,96117,40.54621,-120.23999,319,0,61,19815.63,False,11.59313893,13,0,2,False,True,True,True,False,False,True,False,False,False,False,True,4.151256695,134.950905,393.6524652,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
91,2771,41.83778,-71.31735,15210,0,63,41656.53,True,15.19664016,9,1,0,False,True,True,False,False,False,True,True,False,True,True,True,13.85488928,222.628057,2138.107161,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True
92,49274,41.83849,-84.76277,3499,0,68,115510.46,False,5.083995994,3,1,0,False,True,False,True,False,True,False,False,True,False,True,True,3.273341151,162.468917,443.984031,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False
93,71104,32.48494,-93.73255,14479,2,32,15841.19,True,6.942719201,7,1,1,False,True,False,True,True,False,True,True,False,False,False,False,19.75096265,159.979358,2481.385603,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False
94,33576,28.32589,-82.32911,4654,0,76,81127.41,False,9.834012571,7,1,0,False,False,True,True,True,False,False,True,True,False,True,True,18.38404445,184.979684,2233.567181,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True
95,75212,32.78137,-96.87917,26320,0,29,24270.88,True,11.0596826,13,0,0,False,False,False,True,False,True,True,True,False,True,True,True,4.672610857,245.145743,1158.91369,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
96,60926,40.57234,-87.80962,35,0,83,54466.33,False,8.834079073,17,0,1,False,False,False,True,False,False,False,True,False,False,False,False,6.796299371,124.97808,529.40733,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
98,28301,35.07431,-78.88358,17600,5,80,103311.26,False,9.394961367,15,1,0,False,False,False,True,False,True,True,True,True,False,False,True,20.31163945,162.500692,2056.386979,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
99,58784,48.36433,-102.42437,3324,0,20,40211.04,False,14.4754365,11,1,1,False,False,False,True,True,False,False,True,False,True,False,True,6.998814446,182.467607,1067.373076,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
101,42327,37.58745,-87.30164,4038,1,32,43466.35,False,13.79409442,10,1,0,False,False,False,True,True,False,False,True,False,True,False,True,11.13472066,182.467607,1397.701335,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False
102,11417,40.67637,-73.84441,31927,0,53,23289.77,True,12.40165307,19,1,0,False,False,True,True,True,False,False,True,False,True,True,True,2.542296644,220.161527,808.4305471,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True
103,26201,39.00049,-80.20387,19904,2,25,49158.49,False,10.24782033,9,1,0,False,False,False,True,False,False,True,False,False,False,True,True,17.22596021,169.937833,1886.531937,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
104,64080,38.76701,-94.25448,13000,0,69,3805.84,True,14.86100819,16,0,2,False,True,False,False,True,False,True,True,False,True,False,True,22.79214163,204.963371,2294.781131,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
105,68065,41.07317,-96.83986,1444,3,71,52616.27,True,6.716953195,10,2,1,False,False,False,True,True,False,True,True,False,True,False,False,3.823689744,204.963371,826.3438621,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
106,10511,41.26302,-73.94368,2158,3,53,30550.42,True,8.124258176,18,1,0,False,False,False,True,True,True,True,False,False,True,True,False,10.77094687,245.128318,2072.564168,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False
107,47469,38.61776,-86.61282,1800,2,56,12154.01,True,14.60903837,11,0,2,False,False,True,True,True,False,True,False,True,True,False,True,13.08671185,172.473314,1436.793746,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False
108,79537,32.29188,-100.21075,30,0,42,30649.31,True,12.65015936,9,2,2,False,True,False,False,True,False,False,False,True,False,True,False,14.76468813,172.456745,1963.332683,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False
109,35966,34.79657,-85.67879,3682,3,33,31417.33,True,12.0281501,14,0,0,False,False,False,True,True,False,False,True,True,True,False,True,9.473091121,194.976769,1324.164906,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
110,20120,38.85433,-77.47715,41733,1,47,55861.19,False,15.68043093,16,1,0,False,False,False,True,False,False,False,False,False,True,False,True,5.197446331,137.439154,704.9375603,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False
111,55703,47.74202,-92.78159,630,1,48,9044.26,True,11.30421466,18,3,1,False,True,True,True,True,False,False,True,False,False,True,True,6.577552683,192.470522,888.6517305,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False
112,54868,45.52596,-91.71346,15383,0,63,25381.66,True,10.26646787,10,1,0,False,True,False,True,False,False,False,False,True,False,True,False,3.174571918,159.951231,377.0810282,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True
113,1243,42.35146,-73.02322,257,1,40,65064.31,False,7.56618217,9,0,0,False,False,False,True,False,False,False,False,False,False,False,True,17.88002366,112.455141,1606.489936,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
114,14822,42.43085,-77.84964,1012,0,67,12527.51,True,10.40677369,14,2,0,True,False,False,True,False,True,True,False,True,True,False,True,13.12190056,174.961766,1431.409396,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
